,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist
0,2,5,1,0,1,0,542,0,0,0,0,65596,0,65596,0,524,8748,0,8748,0,2017,2,3015,1087,1087,7,9,10265,4371,4880,1013,7162,5875,1,0,146,0,10,1,6,0,0,0,0,0,0,0
1,14,3,7,7,3,4,646,2,1,0,0,125430,12573,100850,12006,0,15443,1263,13967,212,10407,1,11014,25415,4017,19,21,17539,5117,12036,385,12370,10708,2,0,5,116,13,4,8,2,1,0,1,0,0,1
2,8,3,9,5,2,2,932,2,0,0,0,124829,1403,120103,3322,1562,12687,362,11967,357,4118,4,3237,16974,7594,11,14,10080,4068,5645,366,12912,10855,3,1,178,4,14,3,2,4,0,0,1,0,1,0
3,6,8,7,3,1,1,302,0,0,0,0,137513,18947,116922,1643,498,18183,5276,12568,339,2071,3,8719,2708,0,6,2,16409,4096,10778,1534,11926,10575,0,0,221,8,15,1,4,2,0,0,0,0,0,0
4,7,6,6,3,2,3,277,2,0,0,0,108685,9971,94349,4364,511,15708,3902,11551,254,2351,3,4752,15122,6703,8,2,11185,2709,7927,548,11094,9525,1,1,163,16,13,1,4,3,0,0,0,0,1,0
5,15,0,12,15,3,1,0,2,1,0,0,115972,6666,108708,598,0,25359,3183,22009,166,0,0,2933,9404,7410,9,20,8564,4368,3661,535,13527,10375,3,0,165,12,13,1,2,2,1,0,1,0,0,0
6,7,7,8,3,2,2,458,2,0,0,0,146619,6306,137698,2615,0,19557,2795,16761,0,1015,1,5514,11192,3275,14,25,16205,4234,11153,816,12571,11250,3,0,202,0,14,2,4,4,0,0,1,0,0,0
7,4,5,4,2,2,1,774,1,0,0,0,100015,17420,81967,628,671,11891,3196,8066,628,1213,2,5771,206,206,16,11,14669,3440,10737,491,9929,9010,0,0,213,4,13,0,6,5,1,0,0,0,0,0
8,1,9,9,0,1,0,372,0,0,0,0,84550,15527,68038,984,655,18680,4794,12901,984,2308,3,5808,294,294,19,15,17448,7789,9175,484,8854,8600,0,0,191,0,13,0,7,6,0,0,0,0,0,0
9,6,3,7,4,1,2,804,0,0,0,0,161559,15196,136480,9882,0,12062,1435,10077,550,16638,1,15673,20786,1596,37,14,26214,8517,16932,763,11944,11358,2,0,14,142,16,8,9,4,0,0,1,0,0,0
10,13,5,2,6,2,2,808,2,0,0,0,143184,15256,124625,3301,2239,18688,5079,13495,114,2859,3,6844,3226,0,15,1,17180,11961,4944,275,13521,11925,0,0,188,16,14,2,3,3,0,0,0,0,0,0
11,4,9,3,2,1,1,359,0,0,0,0,72685,557,72128,0,666,11516,235,11280,0,1715,2,4140,2561,2561,5,9,14661,7089,7369,202,8837,8450,2,0,147,0,10,0,2,1,0,0,1,0,0,0
12,0,2,1,0,0,0,842,0,0,0,0,71956,7646,59065,5245,0,4403,286,3811,306,7537,1,7186,2708,0,11,9,14225,3156,10764,304,4892,4300,0,0,5,86,10,1,4,1,0,0,0,0,0,0
13,1,2,12,0,1,0,1142,0,0,0,0,143636,13611,120568,9455,0,8288,1040,6898,350,17497,1,14738,28125,2129,30,8,28544,9266,18342,936,10001,9608,1,0,19,136,15,4,9,6,0,0,0,0,0,0
14,9,5,7,5,2,2,506,1,0,0,0,130478,2990,126748,740,1342,22156,1664,20126,366,3727,3,6678,3611,2724,18,18,14683,4915,8795,972,12499,11975,1,0,198,12,14,3,6,2,1,0,0,0,0,0
15,3,8,7,0,1,0,499,0,0,0,0,135317,2208,131892,1216,629,11174,628,10256,290,1295,2,7815,8334,6555,15,12,17920,549,15560,1810,11017,10050,2,0,221,12,14,1,6,1,0,0,0,0,0,0
16,2,9,6,2,1,1,541,0,0,0,0,21100,9689,4727,6683,0,5751,4280,878,593,3762,5,28270,6,0,57,38,23550,8041,14256,1252,6230,5750,0,0,32,0,11,10,30,8,1,0,0,0,0,0
17,13,1,17,13,2,1,1846,2,0,0,0,225239,5976,213179,6083,1678,38820,1775,32748,4297,5421,4,5708,18495,7101,19,39,14540,4386,8508,1645,16330,25275,2,0,214,45,17,3,11,1,0,0,0,0,0,1
18,4,6,11,3,1,1,962,0,0,0,0,25585,10182,6229,9173,0,7518,5693,1136,688,6073,5,38432,209,209,34,40,23995,3670,18607,1717,7472,7025,0,0,44,0,12,5,16,4,0,0,0,0,0,0
19,8,8,5,2,2,3,510,1,0,0,0,144568,17114,119123,8331,0,14817,1404,12559,854,13880,1,21447,9660,2020,21,17,31821,10550,20754,516,11962,11358,1,0,37,120,15,8,8,2,0,0,0,0,0,0
0,8,4,11,5,1,2,699,0,0,0,0,151386,6743,143705,937,1360,21188,1105,19606,476,3104,2,4830,5207,2251,23,19,13142,6276,5982,882,12826,12300,1,0,196,12,15,0,9,3,0,0,0,0,0,0
1,4,6,1,2,1,2,559,0,0,0,0,137453,5435,131647,369,0,14224,1626,12228,369,2814,1,14153,2673,422,24,17,27427,10605,15311,1511,10444,9550,0,0,208,16,15,2,8,3,0,0,0,0,0,0
2,11,9,10,3,1,4,541,0,0,0,0,182789,2907,150612,29269,0,22575,444,15560,6570,10732,1,28954,8246,0,18,22,39559,9535,25067,4956,15301,14883,0,0,91,103,17,1,10,2,0,0,0,0,0,0
3,3,6,0,2,1,1,252,0,0,0,0,80419,4971,66041,9405,0,3416,156,2805,454,6218,1,7988,3123,0,16,6,17865,5241,12586,38,6911,6350,0,0,27,74,11,3,9,2,0,0,0,0,0,0
4,8,0,1,8,2,1,0,1,0,0,0,50641,2174,48239,228,0,8104,1462,6625,16,573,2,1564,11645,4616,6,1,4375,559,3763,52,7850,6150,2,0,103,0,9,0,3,1,1,0,1,0,0,0
5,8,1,10,6,1,2,1296,0,0,0,0,135229,7781,125228,2220,1079,20987,2749,17833,404,2510,3,4998,13651,7224,13,23,12340,4179,7442,718,11356,9225,3,1,173,12,14,0,8,0,0,0,1,0,1,0
6,3,2,6,2,1,1,820,0,0,0,0,111755,4382,85532,21840,0,5712,267,4337,1108,7528,1,9306,21211,440,20,9,16875,2459,13659,755,8505,7450,0,0,21,108,13,1,5,1,0,0,0,0,0,1
7,6,4,4,3,3,2,484,1,1,0,0,101257,14968,83018,3270,447,9464,2873,6590,0,3179,4,5793,1027,536,21,0,12074,3274,8417,381,10740,7700,0,0,179,4,14,0,7,5,0,0,0,0,0,0
